gbsa drop=none steps 2000 host_s 8.074387 us_per_step 4037.19 ns_per_day 85.6
| Kernel | Grid x threadgroup | Dispatches/step | GPU us/step | Median us | Min us | Max us |
|---|---|---:|---:|---:|---:|---:|
| computeNonbonded | 2400x64 | 1.00 | 54.30 | 54.25 | 17.17 | 57.00 |
| computeGBSAForce1 | 720x64 | 1.00 | 51.97 | 52.00 | 46.88 | 56.25 |
| computeBornSum | 720x64 | 1.00 | 45.38 | 45.21 | 41.29 | 129.75 |
| computeBondedForces | 115x64 | 1.00 | 26.58 | 26.50 | 25.58 | 28.67 |
| findBlocksWithInteractions | 78x32 | 1.00 | 20.91 | 4.62 | 4.12 | 216.12 |
| sortBoxData | 39x64 | 1.00 | 15.80 | 15.62 | 12.38 | 67.04 |
| sortShortList2 | 2x64 | 1.00 | 8.52 | 8.58 | 7.79 | 12.00 |
| applyShakeToPositions | 13x64 | 1.00 | 7.63 | 7.71 | 6.83 | 9.12 |
| reduceBornForce | 39x64 | 1.00 | 7.40 | 7.38 | 6.71 | 9.25 |
| clearFourBuffers | 720x64 | 1.00 | 6.84 | 6.75 | 6.33 | 8.29 |
| applyShakeToVelocities | 13x64 | 1.00 | 6.62 | 6.62 | 5.88 | 9.04 |
| removeCenterOfMassMomentum | 39x64 | 1.00 | 6.48 | 6.50 | 5.62 | 8.25 |
| integrateLangevinMiddlePart1 | 39x64 | 1.00 | 6.37 | 6.38 | 5.62 | 7.62 |
| reduceBornSum | 39x64 | 1.00 | 6.23 | 6.29 | 5.46 | 8.46 |
| calcCenterOfMassMomentum | 39x64 | 1.00 | 6.13 | 6.08 | 5.29 | 84.75 |
| integrateLangevinMiddlePart3 | 39x64 | 1.00 | 5.98 | 5.96 | 5.25 | 7.25 |
| findBlockBounds | 78x32 | 1.00 | 5.86 | 5.79 | 5.42 | 7.33 |
| integrateLangevinMiddlePart2 | 39x64 | 1.00 | 5.45 | 5.38 | 4.62 | 88.00 |
| computeSortKeys | 2x64 | 1.00 | 4.25 | 4.42 | 3.38 | 5.71 |
| copyInteractionCounts | 1x1 | 1.00 | 3.46 | 3.67 | 2.58 | 5.04 |
| generateRandomNumbers | 156x64 | 0.25 | 1.95 | 7.75 | 7.46 | 8.75 |
| reduceEnergy | 60x256 | 0.00 | 0.00 | 9.62 | 9.62 | 9.62 |
| computeKineticEnergy | 1x256 | 0.00 | 0.00 | 9.42 | 9.42 | 9.42 |
| total | | 20.26 | 304.14 | | | |
