gbsa drop=none steps 2000 host_s 8.272172 us_per_step 4136.09 ns_per_day 83.6
| Kernel | Grid x threadgroup | Dispatches/step | GPU us/step | Median us | Min us | Max us |
|---|---|---:|---:|---:|---:|---:|
| computeNonbonded | 360x256 | 1.00 | 71.47 | 71.25 | 38.25 | 162.33 |
| computeGBSAForce1 | 360x256 | 1.00 | 51.18 | 50.79 | 47.21 | 58.50 |
| computeBornSum | 360x256 | 1.00 | 47.12 | 47.04 | 42.79 | 52.38 |
| computeBondedForces | 115x64 | 1.00 | 27.95 | 27.83 | 26.83 | 104.83 |
| findBlockBounds | 2x64 | 1.00 | 11.66 | 11.42 | 10.62 | 93.21 |
| sortShortList | 1x256 | 1.00 | 10.63 | 10.50 | 9.88 | 12.12 |
| findBlocksWithInteractions | 10x256 | 1.00 | 10.26 | 4.42 | 3.38 | 133.12 |
| reduceBornForce | 39x64 | 1.00 | 7.31 | 7.12 | 6.38 | 9.42 |
| applyShakeToPositions | 13x64 | 1.00 | 7.28 | 7.25 | 6.62 | 8.54 |
| removeCenterOfMassMomentum | 39x64 | 1.00 | 6.60 | 6.62 | 5.75 | 7.62 |
| applyShakeToVelocities | 13x64 | 1.00 | 6.55 | 6.42 | 5.88 | 88.00 |
| clearFourBuffers | 720x64 | 1.00 | 6.51 | 6.42 | 5.88 | 8.00 |
| sortBoxData | 39x64 | 1.00 | 6.03 | 5.92 | 5.25 | 8.92 |
| reduceBornSum | 39x64 | 1.00 | 6.01 | 6.04 | 5.12 | 11.42 |
| integrateLangevinMiddlePart1 | 39x64 | 1.00 | 5.88 | 5.88 | 5.25 | 8.79 |
| integrateLangevinMiddlePart3 | 39x64 | 1.00 | 5.80 | 5.88 | 4.88 | 6.79 |
| calcCenterOfMassMomentum | 39x64 | 1.00 | 5.63 | 5.58 | 4.96 | 22.21 |
| integrateLangevinMiddlePart2 | 39x64 | 1.00 | 5.26 | 5.25 | 4.50 | 77.21 |
| computeSortKeys | 2x64 | 1.00 | 5.13 | 5.25 | 4.12 | 7.00 |
| generateRandomNumbers | 156x64 | 0.25 | 1.90 | 7.58 | 7.04 | 8.71 |
| computeKineticEnergy | 1x256 | 0.00 | 0.00 | 8.17 | 8.17 | 8.17 |
| reduceEnergy | 60x256 | 0.00 | 0.00 | 8.00 | 8.00 | 8.00 |
| total | | 19.26 | 306.18 | | | |
