2026-09-24T17:58:14Z round 2 apoa1rf opencl-single load { 2.25 2.22 2.40 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 59%; charging; 0:58 remaining present: true 
2026-09-24T17:58:51Z round 2 apoa1rf metal-mixed load { 2.16 2.19 2.38 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 60%; charging; 0:57 remaining present: true 
2026-09-24T17:59:25Z round 2 apoa1rf metal-single load { 2.87 2.34 2.42 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 61%; charging; 0:57 remaining present: true 
2026-09-24T17:59:59Z round 2 apoa1pme opencl-single load { 2.61 2.33 2.41 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 62%; charging; 0:55 remaining present: true 
2026-09-24T18:00:34Z round 2 apoa1pme metal-mixed load { 2.32 2.29 2.39 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 63%; charging; 0:54 remaining present: true 
2026-09-24T18:01:07Z round 2 apoa1pme metal-single load { 1.88 2.19 2.35 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 64%; charging; 0:51 remaining present: true 
2026-09-24T18:01:41Z round 2 apoa1ljpme opencl-single load { 2.07 2.20 2.35 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 65%; charging; 0:50 remaining present: true 
2026-09-24T18:02:16Z round 2 apoa1ljpme metal-mixed load { 2.02 2.16 2.33 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 66%; charging; 0:50 remaining present: true 
2026-09-24T18:02:50Z round 2 apoa1ljpme metal-single load { 1.81 2.10 2.30 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 66%; charging; 0:50 remaining present: true 
2026-09-24T18:03:24Z round 2 amber20-dhfr opencl-single load { 1.92 2.09 2.28 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 67%; charging; 0:49 remaining present: true 
2026-09-24T18:03:57Z round 2 amber20-dhfr metal-mixed load { 2.68 2.25 2.33 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 68%; charging; 0:50 remaining present: true 
2026-09-24T18:04:31Z round 2 amber20-dhfr metal-single load { 2.33 2.23 2.32 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 69%; charging; 0:50 remaining present: true 
2026-09-24T18:05:03Z round 2 amber20-cellulose opencl-single load { 1.98 2.16 2.29 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 70%; charging; 0:51 remaining present: true 
2026-09-24T18:05:48Z round 2 amber20-cellulose metal-mixed load { 1.68 2.04 2.24 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 71%; charging; 0:53 remaining present: true 
2026-09-24T18:07:02Z round 2 amber20-cellulose metal-single load { 1.60 1.94 2.19 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 72%; charging; 0:53 remaining present: true 
2026-09-24T18:07:45Z round 3 gbsa metal-single load { 1.44 1.85 2.14 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 73%; charging; 0:53 remaining present: true 
2026-09-24T18:08:16Z round 3 gbsa metal-mixed load { 2.03 1.95 2.16 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 74%; charging; 0:51 remaining present: true 
2026-09-24T18:08:47Z round 3 gbsa opencl-single load { 2.18 1.98 2.17 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 74%; charging; 0:51 remaining present: true 
2026-09-24T18:09:18Z round 3 rf metal-single load { 2.39 2.06 2.19 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 75%; charging; 0:49 remaining present: true 
2026-09-24T18:09:50Z round 3 rf metal-mixed load { 2.49 2.12 2.20 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 75%; charging; 0:49 remaining present: true 
2026-09-24T18:10:21Z round 3 rf opencl-single load { 2.11 2.07 2.18 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 76%; charging; 0:47 remaining present: true 
2026-09-24T18:10:53Z round 3 pme metal-single load { 2.54 2.19 2.22 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 77%; charging; 0:45 remaining present: true 
2026-09-24T18:11:24Z round 3 pme metal-mixed load { 2.52 2.20 2.22 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 77%; charging; 0:45 remaining present: true 
2026-09-24T18:11:56Z round 3 pme opencl-single load { 2.13 2.15 2.20 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 78%; charging; 0:43 remaining present: true 
2026-09-24T18:12:28Z round 3 apoa1rf metal-single load { 2.40 2.22 2.23 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 79%; charging; 0:41 remaining present: true 
2026-09-24T18:13:01Z round 3 apoa1rf metal-mixed load { 2.12 2.18 2.21 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 79%; charging; 0:41 remaining present: true 
2026-09-24T18:13:35Z round 3 apoa1rf opencl-single load { 1.87 2.11 2.18 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 80%; charging; 0:40 remaining present: true 
2026-09-24T18:14:12Z round 3 apoa1pme metal-single load { 2.06 2.12 2.18 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 81%; charging; 0:41 remaining present: true 
2026-09-24T18:14:45Z round 3 apoa1pme metal-mixed load { 1.51 1.98 2.13 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 81%; charging; 0:41 remaining present: true 
2026-09-24T18:15:19Z round 3 apoa1pme opencl-single load { 1.19 1.85 2.07 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 82%; charging; 0:41 remaining present: true 
2026-09-24T18:15:54Z round 3 apoa1ljpme metal-single load { 1.40 1.82 2.05 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 82%; charging; 0:41 remaining present: true 
2026-09-24T18:16:28Z round 3 apoa1ljpme metal-mixed load { 1.35 1.76 2.02 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 83%; charging; 0:41 remaining present: true 
2026-09-24T18:17:01Z round 3 apoa1ljpme opencl-single load { 1.51 1.75 2.00 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 83%; charging; 0:41 remaining present: true 
2026-09-24T18:17:36Z round 3 amber20-dhfr metal-single load { 1.49 1.72 1.98 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 84%; charging; 0:42 remaining present: true 
2026-09-24T18:18:08Z round 3 amber20-dhfr metal-mixed load { 1.95 1.79 2.00 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 84%; charging; 0:42 remaining present: true 
2026-09-24T18:18:43Z round 3 amber20-dhfr opencl-single load { 2.26 1.91 2.03 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 85%; charging; 0:42 remaining present: true 
2026-09-24T18:19:16Z round 3 amber20-cellulose metal-single load { 2.53 2.01 2.06 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 85%; charging; 0:42 remaining present: true 
2026-09-24T18:19:59Z round 3 amber20-cellulose metal-mixed load { 2.53 2.07 2.08 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 86%; charging; 0:40 remaining present: true 
2026-09-24T18:21:14Z round 3 amber20-cellulose opencl-single load { 2.62 2.19 2.12 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 87%; charging; 0:40 remaining present: true 
