2026-09-24T17:22:30Z round 2 pme metal-single load { 3.53 3.24 3.22 } power Now drawing from 'Battery Power'  -InternalBattery-0 (id=37552227) 33%; discharging; 0:33 remaining present: true 
2026-09-24T17:23:02Z round 2 apoa1rf opencl-single load { 2.95 3.11 3.17 } power Now drawing from 'Battery Power'  -InternalBattery-0 (id=37552227) 33%; discharging; 0:33 remaining present: true 
2026-09-24T17:23:38Z round 2 apoa1rf metal-mixed load { 2.57 3.00 3.13 } power Now drawing from 'Battery Power'  -InternalBattery-0 (id=37552227) 32%; discharging; 0:35 remaining present: true 
2026-09-24T17:24:12Z round 2 apoa1rf metal-single load { 2.13 2.84 3.06 } power Now drawing from 'Battery Power'  -InternalBattery-0 (id=37552227) 32%; discharging; 0:35 remaining present: true 
2026-09-24T17:24:46Z round 2 apoa1pme opencl-single load { 2.24 2.82 3.05 } power Now drawing from 'Battery Power'  -InternalBattery-0 (id=37552227) 31%; discharging; 0:35 remaining present: true 
2026-09-24T17:25:21Z round 2 apoa1pme metal-mixed load { 1.80 2.65 2.98 } power Now drawing from 'Battery Power'  -InternalBattery-0 (id=37552227) 31%; discharging; 0:32 remaining present: true 
2026-09-24T17:25:54Z round 2 apoa1pme metal-single load { 2.89 2.84 3.03 } power Now drawing from 'Battery Power'  -InternalBattery-0 (id=37552227) 30%; discharging; 0:30 remaining present: true 
2026-09-24T17:26:28Z round 2 apoa1ljpme opencl-single load { 2.82 2.83 3.02 } power Now drawing from 'Battery Power'  -InternalBattery-0 (id=37552227) 29%; discharging; 0:32 remaining present: true 
2026-09-24T17:27:03Z round 2 apoa1ljpme metal-mixed load { 2.46 2.73 2.98 } power Now drawing from 'Battery Power'  -InternalBattery-0 (id=37552227) 29%; discharging; 0:32 remaining present: true 
2026-09-24T17:27:37Z round 2 apoa1ljpme metal-single load { 2.04 2.59 2.91 } power Now drawing from 'Battery Power'  -InternalBattery-0 (id=37552227) 28%; discharging; 0:33 remaining present: true 
2026-09-24T17:28:10Z round 2 amber20-dhfr opencl-single load { 1.74 2.47 2.86 } power Now drawing from 'Battery Power'  -InternalBattery-0 (id=37552227) 28%; discharging; 0:33 remaining present: true 
2026-09-24T17:28:43Z round 2 amber20-dhfr metal-mixed load { 1.85 2.41 2.82 } power Now drawing from 'Battery Power'  -InternalBattery-0 (id=37552227) 27%; discharging; 0:30 remaining present: true 
2026-09-24T17:29:18Z round 2 amber20-dhfr metal-single load { 2.16 2.42 2.80 } power Now drawing from 'Battery Power'  -InternalBattery-0 (id=37552227) 27%; discharging; 0:30 remaining present: true 
2026-09-24T17:29:50Z round 2 amber20-cellulose opencl-single load { 2.23 2.40 2.78 } power Now drawing from 'Battery Power'  -InternalBattery-0 (id=37552227) 27%; discharging; 0:32 remaining present: true 
2026-09-24T17:30:35Z round 2 amber20-cellulose metal-mixed load { 2.17 2.34 2.74 } power Now drawing from 'Battery Power'  -InternalBattery-0 (id=37552227) 26%; discharging; 0:34 remaining present: true 
2026-09-24T17:31:49Z round 2 amber20-cellulose metal-single load { 1.90 2.25 2.67 } power Now drawing from 'Battery Power'  -InternalBattery-0 (id=37552227) 25%; discharging; 0:40 remaining present: true 
2026-09-24T17:32:32Z round 3 gbsa metal-single load { 1.62 2.15 2.61 } power Now drawing from 'Battery Power'  -InternalBattery-0 (id=37552227) 24%; discharging; 0:36 remaining present: true 
2026-09-24T17:33:04Z round 3 gbsa metal-mixed load { 2.67 2.37 2.67 } power Now drawing from 'Battery Power'  -InternalBattery-0 (id=37552227) 24%; discharging; 0:36 remaining present: true 
2026-09-24T17:33:35Z round 3 gbsa opencl-single load { 2.83 2.45 2.69 } power Now drawing from 'Battery Power'  -InternalBattery-0 (id=37552227) 23%; discharging; 0:30 remaining present: true 
2026-09-24T17:34:05Z round 3 rf metal-single load { 3.08 2.56 2.73 } power Now drawing from 'Battery Power'  -InternalBattery-0 (id=37552227) 23%; discharging; 0:30 remaining present: true 
